Employee's PIN,Employee's Name,Employee's Surname,Date of Birth,E-mail,Telephone,Education,Known languages,Salary per month,Position,Date of admission ,Date of end of work on the current position
40,ätÏp·nka,Grant,11.04.1970,wlodykaroza@fpuh.com,282554870,Medium,5,1500, Tour Guide, 2020-01-05, 2020-09-28
41,Tony,Vilanova,31.07.1993,rui24@anjos.com, (351) 917917764,High,1,3100, Resident, 2019-12-06, 2020-08-19
42,Kati,Little,13.06.1977,fkleban@grupa.pl,351243623323,-,3,4700, Resident, 2019-09-26, 2020-04-19
43,Milo,Gomis,12.12.1979,oskar28@hotmail.com,48515227755,High,5,7900, Resident, 2020-02-04, 2020-07-10
44,Sarah,Samson,29.01.1990,gasparines@gmail.com,254229264,-,1,6200, Tour Guide, 2019-11-01, 2020-06-06
45,Dominik,Sarota,26.11.2001,ariana43@assuncao.pt,780542779,High,6,6900, Animator, 2020-01-15, 2020-05-04
46,PÈter,Vitturi,28.12.1969,szwajradoslaw@interia.pl, 32 255 20 30,-,3,5500, Animator, 2020-02-09, 2020-06-23
47,Jind¯ich,Padilla,16.07.1992,ggaspar@gmail.com,48888092167,Medium,4,6200, Resident, 2019-11-24, 2020-10-14
48,Denis,Becker,17.01.1990,luis18@clix.pt,48601486798,-,3,6200, Animator, 2019-12-26, 2020-09-13
49,Anthony,Smith,11.01.1973,ukycia@ziarnik-ludzik.com,48739499572,-,3,6000, Animator, 2020-02-11, 2020-06-12
50,Pauline,Quinn,31.12.1997,naiaraleite@hotmail.com,500719513,High,2,5900, Resident, 2020-02-16, 2020-09-20
51,Torquato,Jenkins,09.11.2000,kielbusfabian@stowarzyszenie.pl, (351) 965862498,High,6,1500, Animator, 2020-02-07, 2020-04-21
52,Brigitta,Webb,06.04.1987,leonardkloch@jambor-glaza.com, (351) 286 495 816,High,2,7300, Tour Guide, 2019-10-24, 2020-10-10
53,Aniela,Fuertes,23.03.1986,vasco06@pinheiro.com, (351) 925 316 989,High,4,4500, Tour Guide, 2019-11-29, 2020-09-14
54,Renata,Godard,10.10.1996,tola21@o2.pl,696936508,High,5,7900, Tour Guide, 2020-02-09, 2020-06-14
55,Todd,Cicala,15.06.1990,yara40@clix.pt, (351) 924 921 005,High,6,6400, Animator, 2019-12-05, 2020-06-10
56,Bernfried,Sˆlzer,03.01.1986,gilfigueiredo@pinho.com,48504037874,-,1,4200, Resident, 2019-11-13, 2020-05-31
57,Kenneth,Berenguer,11.10.1970,catarina01@gmail.com, (351) 928 069 547,Medium,5,1900, Resident, 2019-12-14, 2020-08-13
58,Diana,Imbert,11.04.1992,malwinaszymanik@o2.pl,48661988757,-,1,3200, Tour Guide, 2020-01-05, 2020-07-15
59,Scott,Hernandez,22.10.1969,tymonchaber@kempka-celuch.org,728256048,Medium,1,1500, Resident, 2019-12-17, 2020-09-08
60,Hana,Kadlecov·,18.06.1979,reisjoel@loureiro.net,729212884,Medium,3,1600, Tour Guide, 2019-09-08, 2020-08-10
61,Romana,Allen,16.05.1982,damiandamek@michnik.org,923951194,Medium,2,1800, Animator, 2019-10-27, 2020-08-28
62,Elisa,Rodriguez,21.05.1975,andre90@gmail.com,727245511,-,6,1400, Animator, 2019-09-27, 2020-07-14
63,Giuseppina,Canet,29.05.1986,hwojnicz@gmail.com,351938677011,High,4,2000, Animator, 2020-03-03, 2020-05-06
64,David,Blaûkov·,30.01.1970,wozniakjedrzej@interia.pl,961753252,High,6,4900, Animator, 2019-10-03, 2020-09-12
65,Caterina,Godard,05.11.1999,carneiroartur@sapo.pt,507765392,High,4,5000, Animator, 2019-12-02, 2020-06-27
66,Ewelina,Torres,08.10.1982,lucianapinto@teixeira.com, +48 32 369 34 85,Medium,2,4700, Tour Guide, 2019-10-10, 2020-06-02
67,Gioele,VlËkov·,01.12.2000,zmakar@onet.pl,48693609552,-,1,5800, Tour Guide, 2019-12-20, 2020-09-10
68,Kristina,Khan,15.07.1976,franciscafreitas@hotmail.com,930698911,-,1,7700, Animator, 2019-10-24, 2020-07-03
69,Tony,Evans,23.01.1994,ypabis@salomon.org,790378003,Medium,5,2200, Tour Guide, 2020-02-11, 2020-08-30
70,Andrea,Scarlatti,08.07.1993,angela87@goncalves.pt,575352184,High,4,4000, Resident, 2019-12-01, 2020-07-27
71,Scott,Greenwood,06.09.1984,kajetan99@o2.pl, (351) 964590164,Medium,2,7500, Animator, 2020-01-26, 2020-05-09
72,Savannah,TÛth,25.11.1986,rdomingues@clix.pt,783437800,-,1,5200, Tour Guide, 2019-12-31, 2020-05-25
73,Donna,Bray,20.06.1974,wnunes@teixeira.org,791236205,-,5,6700, Tour Guide, 2019-10-03, 2020-07-10
74,G·bor,Trubin,11.03.1996,mcyman@fpuh.net,961734852,Medium,2,4000, Resident, 2019-10-04, 2020-07-24
75,Kimberly,Delle,02.04.1987,jlourenco@sapo.pt, (351) 928 995 504,Medium,2,5000, Resident, 2019-12-24, 2020-08-16
76,Corey,Oliva,25.05.1989,nskonieczka@interia.pl, (351) 281 302 063,Medium,1,3800, Resident, 2019-09-30, 2020-04-23
77,Tymoteusz,Chuchla,31.03.1982,nataszahumeniuk@fundacja.pl,731000926,-,3,5000, Animator, 2019-10-11, 2020-08-09
78,GÈrard,Rodriguez,15.06.1972,kozuszekcezary@hotmail.com,48780591295,High,1,2500, Resident, 2019-11-19, 2020-08-17
79,Pietro,Perez,31.07.1970,leoniukigor@gabinety.org, (351) 931 748 163,Medium,5,4300, Animator, 2019-11-19, 2020-08-14
80,Gyˆrgy,Pistoletto,06.02.1983,szymon52@gill-wyrwal.pl,939730707,-,2,7000, Resident, 2020-02-12, 2020-09-10
81,FranÁois,Mcgee,27.10.1982,andreia22@hotmail.com, +48 32 842 65 84,Medium,6,2100, Tour Guide, 2020-02-03, 2020-09-22
82,Fatih,Silva,27.06.1974,grzegorz67@poniedzialek-salomon.org, 32 579 03 57,-,3,3000, Tour Guide, 2019-12-10, 2020-09-11
83,Lorena,Lowe,18.11.1998,gasparteresa@lima.pt, 32 102 52 82,-,4,6600, Resident, 2019-10-13, 2020-04-27
84,Alix,Dˆring,02.03.1975,dominikduszczyk@o2.pl,235965248,Medium,1,7000, Animator, 2020-01-21, 2020-04-13
85,Nicole,V·vrov·,11.05.1981,yblazejak@stowarzyszenie.com,914726327,High,4,6400, Animator, 2020-01-14, 2020-09-17
86,ZoÈ,Gilbert,25.11.1970,marcomoreira@clix.pt,660869820,-,3,6200, Resident, 2019-12-13, 2020-08-03
87,Julia,Heged¸s,26.07.1984,aliceribeiro@gmail.com,351911168686,High,6,6000, Tour Guide, 2019-09-17, 2020-10-03
88,Norbert,Fitzpatrick,17.03.1973,esosniak@skrobek-jambor.pl,603171429,Medium,1,2300, Resident, 2019-12-14, 2020-08-14
89,Andrea,Deledda,05.08.1977,dkalka@wolk.com,577685148,High,2,7000, Animator, 2019-10-27, 2020-09-05
90,Juan,Antonio,05.10.1973,lucasa@sapo.pt, +48 32 798 62 73,Medium,3,7200, Animator, 2019-10-22, 2020-09-25
91,Jan,Sagese,18.10.1978,xsaczuk@interia.pl,607220694,-,2,4100, Tour Guide, 2020-01-21, 2020-09-25
92,Ricardo,Chapman,16.08.1976,czubaszekwitold@gmail.com,48609567906,High,3,1600, Animator, 2020-03-02, 2020-06-07
93,Sonia,Bociek,25.06.2001,jesusmicael@soares.com, (351) 916118241,-,2,2000, Tour Guide, 2020-02-12, 2020-09-03
94,Zolt·n,Olson,07.02.1989,raqueltavares@clix.pt,691092883,-,4,2300, Tour Guide, 2019-12-11, 2020-07-11
95,Denise,Sipos,23.07.1986,ciepluchaeryk@o2.pl,910925914,High,1,5500, Animator, 2019-11-11, 2020-07-13
96,Bernadett,Anderson,23.02.1970,pintoalvaro@clix.pt, (351) 922154043,-,5,7500, Animator, 2019-12-19, 2020-05-04
97,Robert,Peukert,26.01.1979,igormatos@sa.net,574902165,High,4,6600, Animator, 2019-09-09, 2020-07-19
98,Carla,Pieper,08.09.2000,besteves@lopes.pt,663577843,Medium,3,3100, Resident, 2019-10-18, 2020-08-04
99,Douglas,Ribeiro,26.06.1992,marekswigon@onet.pl, (351) 921 786 814,High,4,7200, Animator, 2019-12-16, 2020-06-26
100,Katerina,DallapÈ,28.02.1982,borys61@skalka-mokwa.org,48512566483,High,3,6200, Tour Guide, 2019-12-03, 2020-04-09
101,Elfi,Kadlec,17.05.1979,emoura@anjos.org, (351) 929 987 449,-,5,2500, Animator, 2019-09-11, 2020-05-04
102,Roman,K¯Ìû,09.11.1980,lvicente@sapo.pt,917588922,High,4,3600, Animator, 2019-12-11, 2020-09-20
103,Martyn,Striebitz,07.02.1993,ivantorres@freitas.pt,788686682,-,4,2900, Resident, 2019-09-18, 2020-04-22
104,Lindsay,Blondel,25.07.2001,januszewiczmichal@sasak.org, (351) 962 672 980,High,1,7500, Tour Guide, 2020-01-31, 2020-07-04
105,Thierry,Hart,28.06.1976,juliusz31@ciuk.pl, 22 841 98 00,Medium,4,4900, Resident, 2019-11-18, 2020-07-09
106,Kristina,Pol·kov·,07.10.1977,olafschwarz@kowaluk-worach.org,351912132600,-,5,2300, Tour Guide, 2019-09-14, 2020-05-20
107,Charles,Klein,19.01.1981,msprawka@stowarzyszenie.com, +48 32 164 72 99,High,2,5200, Resident, 2019-09-23, 2020-05-09
108,M·ria,Ropero,30.10.1979,wfonseca@branco.pt, (351) 910 091 864,-,4,3100, Resident, 2019-10-20, 2020-09-11
109,Logan,Montenegro,27.03.1993,oliwier98@yahoo.com, (351) 925527008,High,6,2900, Animator, 2019-12-12, 2020-07-28
110,OlivÈr,Nicolas,22.08.1974,nogueiranair@clix.pt, (351) 967844706,High,5,7600, Resident, 2019-10-09, 2020-06-14
111,Rafa≥,Paul,09.04.1985,tomasztrzmiel@maszota.com,785033255,Medium,4,7600, Tour Guide, 2019-12-17, 2020-04-26
112,Biagio,Bolnbach,29.05.1979,nevesmatias@antunes.pt,921065572,Medium,3,7000, Resident, 2019-09-30, 2020-08-03
113,Diethard,Bl·hov·,29.11.1977,jozef86@gmail.com,667528727,High,3,7900, Tour Guide, 2020-02-12, 2020-07-30
114,Maks,Nagy,18.12.2000,tpielka@gabinety.com,735257979,High,1,2700, Tour Guide, 2019-12-05, 2020-10-02
115,Sonia,Sevilla,04.03.2001,ryszard64@fundacja.pl, (351) 211 422 102,High,2,3400, Resident, 2019-10-02, 2020-07-30
116,Marica,Kemp,02.06.1997,melissatorres@hotmail.com, (351) 260782015,-,4,2900, Tour Guide, 2019-10-24, 2020-05-14
117,Janina,Riou,05.10.1975,jacekzlotek@onet.pl,531551417,-,4,7300, Tour Guide, 2020-02-18, 2020-09-09
118,Erin,Kordus,28.10.1974,fnogueira@nogueira.pt,535890735,Medium,1,3200, Animator, 2019-09-16, 2020-07-28
119,Martine,Carrera,19.04.2000,pinholuis@mota.pt, (351) 930 806 261,Medium,5,7100, Resident, 2019-11-12, 2020-06-26
120,Katy,J¸ttner,25.08.2000,gribeiro@brito.pt,936450292,-,1,3400, Animator, 2019-12-05, 2020-05-14
121,Milada,äùastn·,26.01.1976,mia28@costa.com,578443386,High,4,3000, Animator, 2020-02-07, 2020-04-27
122,Alba,Allison,26.12.1980,irinabarros@clix.pt,887000216,-,4,2400, Animator, 2019-11-30, 2020-06-26
123,Tamara,Watson,19.07.1987,nogueirawilliam@figueiredo.com,48728575941,Medium,6,5800, Resident, 2020-01-22, 2020-07-24
124,Sarah,Ochwat,21.06.2001,carolina52@hotmail.com,783626090,High,3,2000, Animator, 2019-10-01, 2020-09-22
125,Jeffery,Ward,07.01.2000,szwajmarika@ufniarz.net, +48 22 404 94 06,High,6,5000, Tour Guide, 2019-11-19, 2020-09-08
126,Enrique,Waters,10.01.1974,tszmajda@onet.pl,48735684485,High,2,2100, Animator, 2019-12-03, 2020-06-10
127,Janet,Malipiero,02.04.2001,sszulim@grupa.net, (351) 934 992 525,High,3,7300, Animator, 2019-12-23, 2020-06-12
128,Kayla,Chadaj,04.04.1992,olyjak@fpuh.pl,531864031,Medium,1,5400, Animator, 2019-12-23, 2020-08-19
129,Kerry,Riccardi,28.01.1994,coelhosimao@hotmail.com, (351) 917 435 293,-,6,4900, Resident, 2019-09-07, 2020-07-18
130,Ivo,Franke,31.08.1985,apoloniakrecisz@fundacja.pl, (351) 968972182,-,6,4300, Animator, 2019-12-12, 2020-07-27
131,VÌtÏzslav,Bernardi,22.09.1980,emanuel21@sapo.pt,695198101,Medium,2,1600, Animator, 2020-01-20, 2020-04-16
132,Ruggero,SoÛs,22.07.1990,mmonteiro@pacheco.pt, (351) 211173609,High,5,2900, Resident, 2019-11-28, 2020-08-11
133,Miloslava,Spencer,06.11.1978,rjuroszek@onet.pl, +48 32 907 41 56,High,3,1800, Resident, 2020-01-01, 2020-07-13
134,Yolanda,Balogh,10.08.1973,qoliveira@carvalho.pt,535027499,Medium,2,6100, Tour Guide, 2019-11-26, 2020-04-22
135,Frank,Zwara,21.11.1992,mcruz@sapo.pt,48722901074,High,6,6300, Resident, 2019-09-21, 2020-07-13
136,AimÈe,Zmarz≥y,08.08.1997,adarzeszut@fpuh.com, (351) 910 764 204,-,3,6400, Resident, 2020-02-17, 2020-08-17
137,Karol,Zemanov·,09.11.1994,renato91@clix.pt,351919734253,High,4,5300, Resident, 2019-10-16, 2020-04-09
138,Francesco,Hermann,31.08.1978,samuel13@sapo.pt, (351) 923 484 492,-,6,4900, Animator, 2020-02-08, 2020-04-17
139,Salvatore,Juh·sz,24.09.1995,cyprianberdzik@gmail.com,48513481380,-,1,7600, Resident, 2019-09-29, 2020-06-12
140,Claire,Marks,21.09.1996,luciana07@fonseca.com,537494733,-,1,6600, Animator, 2019-09-21, 2020-05-26
141,Romina,Sch‰fer,25.04.1985,andreiaribeiro@cardoso.com,964785003,-,4,7200, Animator, 2019-10-12, 2020-05-01
142,Barbara,Howard,21.08.1969,kazimierzwawrzenczyk@andryszczyk-kieszek.com,518303097,High,2,6200, Resident, 2020-01-28, 2020-08-19
143,Darryl,Bird,29.06.1970,wfranczuk@gmail.com, (351) 914 470 939,-,1,4400, Animator, 2019-12-28, 2020-07-21
144,Janos,Lee,31.07.1977,jeremicherek@spoldzielnia.pl,919410794,-,3,7300, Resident, 2020-02-05, 2020-06-21
145,Martin,Judek,12.10.1981,pachecoluca@hotmail.com,969194712,Medium,1,5900, Resident, 2020-01-14, 2020-06-13
146,Massimiliano,S≥adek,23.08.2001,oleksiktymon@interia.pl,48662327113,Medium,2,3700, Animator, 2019-12-11, 2020-04-27
147,Raymund,Varga,26.08.1991,blanka86@krysik-nieborak.net,577105946,High,5,7600, Resident, 2019-10-23, 2020-08-09
148,Cyprian,Esteve,21.02.1998,monteiroclaudio@clix.pt, (351) 289 788 224,-,1,3100, Tour Guide, 2020-02-06, 2020-08-31
149,Monika,Sobisz,18.09.1983,fariajuliana@carneiro.pt, (351) 924844123,High,6,3000, Resident, 2020-01-19, 2020-04-17
150,KvÏta,Patel,18.05.1989,hubertbarej@onet.pl,666671081,High,3,5800, Tour Guide, 2019-11-28, 2020-07-28
151,Mohamed,Galv·n,25.06.2001,ssilva@carvalho.net,48532813704,High,3,7400, Animator, 2019-12-21, 2020-05-29
152,Michael,Nieszporek,22.01.1984,ruiassuncao@rocha.com, 22 761 43 42,-,4,7300, Resident, 2019-09-15, 2020-04-27
153,Carlos,Ni?o,12.04.1981,pmiranda@gmail.com, (351) 227673125,Medium,1,2300, Animator, 2019-12-29, 2020-07-27
154,Vendula,N˙?ez,06.08.1978,pachecomia@hotmail.com,351960619763,-,5,6700, Animator, 2020-02-13, 2020-08-29
155,Guy,Toussaint,19.07.1991,valentinamachado@araujo.com,929248467,Medium,3,8000, Tour Guide, 2019-10-23, 2020-04-30
156,Dorota,Cabanillas,30.10.1996,rafael89@hotmail.com,48880363371,Medium,1,2100, Resident, 2020-01-05, 2020-05-16
157,Luis,Striebitz,04.08.1999,francisco85@loureiro.com, (351) 937897392,-,6,4000, Tour Guide, 2020-02-24, 2020-06-21
158,Wesley,Fontaine,08.11.1987,vwegrzyniak@yahoo.com,48514297077,-,4,7300, Animator, 2020-02-08, 2020-09-13
159,Myriam,KuËera,21.01.1985,isaacmota@cruz.pt,724352850,High,2,7400, Resident, 2019-11-17, 2020-09-25
160,Robert,TÛth,12.08.1986,olafmigon@grupa.org,351960600512,High,1,4300, Resident, 2020-02-14, 2020-10-08
161,Edit,H·jek,15.05.1969,marianna75@yahoo.com,48733488812,Medium,4,6900, Tour Guide, 2020-03-03, 2020-10-11
162,Helfried,Tresoldi,07.04.1976,luisantunes@nunes.org,48786974287,High,2,7700, Resident, 2019-12-10, 2020-09-26
163,Aniela,Serraglio,07.02.1997,franciscoteixeira@clix.pt,48503751485,High,6,2400, Resident, 2019-11-22, 2020-08-25
164,Edward,Collier,09.05.1970,dorota50@sobstyl.com,48664169991,Medium,4,6900, Tour Guide, 2019-09-27, 2020-07-28
165,Annetta,Cicilia,01.10.1989,nurialoureiro@hotmail.com, (351) 965762091,Medium,5,1500, Resident, 2019-09-09, 2020-05-27
166,Jesse,Maökov·,08.07.1973,qszynkiewicz@onet.pl,781263026,Medium,2,6300, Animator, 2019-11-07, 2020-06-13
167,Marc,Rusiniak,23.07.1983,lunasa@vaz.pt, (351) 923 396 629,Medium,3,4300, Animator, 2020-03-01, 2020-06-19
168,Bego?a,Trincavelli,12.04.1987,alexlinkiewicz@yahoo.com, 32 678 52 38,High,2,4500, Animator, 2020-01-09, 2020-04-13
169,Nataniel,Pritchard,27.03.1993,qdomingues@gmail.com,921678705,Medium,5,7100, Tour Guide, 2020-01-08, 2020-06-24
170,Sarah,Zorbach,30.04.1988,iazevedo@leite.pt, (351) 930 144 003,Medium,6,1900, Animator, 2019-09-17, 2020-04-11
171,Trevor,Sandoval,25.04.1987,correiaeva@faria.com,48576621629,Medium,4,1700, Tour Guide, 2019-09-25, 2020-06-14
172,Jessica,Watkins,19.05.1972,sleite@hotmail.com,48601406855,Medium,2,6500, Animator, 2019-11-13, 2020-07-18
173,Jon,Nagy,07.11.1977,rtavares@clix.pt, (351) 936032008,High,5,4900, Animator, 2020-01-02, 2020-06-23
174,Annunziata,Lemaitre,07.03.1980,camila80@gmail.com,351921195553,-,2,2800, Resident, 2019-12-16, 2020-07-02
175,Jose,Casanovas,09.08.1976,brancokyara@ribeiro.com, (351) 291217727,High,3,3300, Animator, 2020-01-23, 2020-04-27
176,Igor,Guillon,18.10.1990,kevinpinheiro@oliveira.com, (351) 937315944,-,1,3600, Resident, 2019-09-07, 2020-06-08
177,Maryse,Lagarde,05.02.1993,aleksander93@onet.pl,885474419,Medium,3,5800, Resident, 2019-09-12, 2020-05-11
178,Andr·s,Stucchi,22.04.1973,oploskonka@ppuh.com,920885163,-,5,1500, Tour Guide, 2019-09-06, 2020-04-18
179,M·ria,Duöek,18.06.1983,bajkosebastian@walo.com,923691536,-,2,6600, Resident, 2019-11-27, 2020-09-27
180,JÛzsef,Watts,09.07.1991,santiagoazevedo@hotmail.com,693513159,High,4,3600, Animator, 2020-02-01, 2020-07-28
181,…douard,Zanazzo,28.07.1982,obroncel@stowarzyszenie.pl,48536100507,-,5,4900, Resident, 2019-10-29, 2020-05-20
182,Harold,Owen,11.04.1997,patricia35@magalhaes.com,48696332181,Medium,4,5400, Tour Guide, 2019-12-10, 2020-09-22
183,Fiorenzo,Edwards,18.10.1984,aleksanderwardzala@ppuh.pl,575570330,Medium,3,5700, Animator, 2019-09-26, 2020-05-19
184,Dylan,G·l,29.01.1994,tatiana34@maia.com,798925889,High,2,6400, Animator, 2019-10-13, 2020-06-23
185,ätÏp·n,Labudda,08.02.1995,wpyziak@stowarzyszenie.com,515116831,Medium,2,7400, Tour Guide, 2020-01-22, 2020-05-31
186,Radka,Coleman,13.08.1999,sergio24@baptista.pt,48799536178,High,1,6800, Tour Guide, 2019-12-16, 2020-04-20
187,Paula,Wende,15.06.1985,iwopianka@spoldzielnia.net,932463889,Medium,5,6400, Animator, 2019-09-21, 2020-04-20
188,Ruth,Bishop,23.10.1990,salome88@domingues.pt,696824996,-,2,6800, Animator, 2019-12-28, 2020-08-01
189,Oliver,Coleman,09.11.1986,sszalast@dyjach-gras.pl, (351) 929 550 894,High,2,3000, Resident, 2019-10-17, 2020-09-28
190,Astrid,Farkas,01.05.1992,borgeseva@ferreira.pt,351915611898,-,5,7300, Tour Guide, 2020-01-08, 2020-09-07
191,Jayne,Kosak,18.08.1977,brancoisabel@valente.pt, +48 32 172 80 69,-,1,4500, Tour Guide, 2020-01-18, 2020-08-22
192,Radka,Moraleda,23.02.2001,pietraszmariusz@kawula-zal.org,511086612,-,6,6600, Tour Guide, 2019-11-02, 2020-07-02
193,Olga,TÛth,22.11.1981,fularczykdagmara@grupa.pl,511544377,Medium,3,5000, Tour Guide, 2020-01-29, 2020-05-15
194,Maksymilian,Brock,15.10.1997,apolonia39@szurek.com, (351) 964431607,-,2,6600, Tour Guide, 2019-10-21, 2020-09-02
195,Konrad,Novotn·,30.08.1974,pintovictoria@clix.pt, (351) 918102434,Medium,1,5300, Animator, 2020-02-06, 2020-07-13
196,Wayne,Hall,05.10.1979,leonardpilka@interia.pl,533050284,High,6,7100, Animator, 2020-02-08, 2020-07-18
197,Tibor,SzabÛ,20.06.1971,antoni13@gmail.com,919844406,High,6,7800, Tour Guide, 2020-03-08, 2020-05-22
198,Chloe,Mata,14.12.1969,alansledzik@yahoo.com,48884061463,Medium,1,2400, Tour Guide, 2020-03-01, 2020-07-03
199,Blanka,Ballesteros,21.06.1978,bartektwardy@gmail.com, 22 660 66 83,Medium,6,2100, Tour Guide, 2019-12-17, 2020-06-07
200,Gabriela,Weitzel,05.08.1992,zuberekdagmara@yahoo.com,351252539031,High,1,1900, Tour Guide, 2020-02-05, 2020-09-12
201,Ernest,Miller,07.12.1974,cristianocorreia@amaral.org,787520555,Medium,2,2500, Animator, 2020-02-10, 2020-09-12
202,Margot,Brown,02.06.1987,ewawawszczak@yahoo.com,48788299884,High,2,6200, Resident, 2020-03-05, 2020-05-07
203,Alice,Smith,11.04.1995,cyprianpietras@yahoo.com,48731470513,-,1,5700, Animator, 2020-01-16, 2020-09-30
204,Konstanty,NÈmeth,03.06.1977,uziecik@o2.pl,912324074,-,4,7200, Animator, 2020-01-07, 2020-04-16
